Name,Description,Detail Page URL,Page
Captain Darwin,Expedition documenting evolution of biodiversity since Darwin and raising awareness about biodiversity protection. Concarneau France.,https://directories.onepercentfortheplanet.org/profile/captain-darwin,41
Association du Refuge des Tortues,Biodiversity & Wildlife focused organization in Bessieres France.,https://directories.onepercentfortheplanet.org/profile/association-du-refuge-des-tortues,41
Passeport Transition 06,Climate Adaptation focused organization in Biot France.,https://directories.onepercentfortheplanet.org/profile/passeport-transition-06,41
The Vinguard,Food Systems focused organization in San Francisco CA.,https://directories.onepercentfortheplanet.org/profile/the-vinguard,41
Gea Chelonia Foundation,Bulgarian non-profit dedicated to the conservation of tortoises.,https://directories.onepercentfortheplanet.org/profile/gea-chelonia-foundation,41
Southern Alberta Land Trust Society,Rancher-based land trust protecting Albertas ecologically valuable private lands. High River AB Canada.,https://directories.onepercentfortheplanet.org/profile/southern-alberta-land-trust-society,41
Essex Region Conservation Foundation,Terrestrial Ecosystems focused organization in Essex ON Canada.,https://directories.onepercentfortheplanet.org/profile/essex-region-conservation-foundation,41
New Agriculture New Generation,Employment and entrepreneurship opportunities for youth in the Greek Agrifood sector. Athens Greece.,https://directories.onepercentfortheplanet.org/profile/new-agriculture-new-generation,41
Rising Hearts,Environmental Education focused organization in Harrisonburg VA.,https://directories.onepercentfortheplanet.org/profile/rising-hearts,41
Habitat Corridor Project,Educating the public about use of California native plants in urban environment. Sebastopol CA.,https://directories.onepercentfortheplanet.org/profile/habitat-corridor-project,41
Revelstoke Bear Aware Society,Keeping bears wild and our community safe. Revelstoke BC Canada.,https://directories.onepercentfortheplanet.org/profile/revelstoke-bear-aware-society,41
Re_Generation,Re-imagining business education and re-purposing careers. Montreal QC Canada.,https://directories.onepercentfortheplanet.org/profile/regeneration-1,41
OCEAN QUEST FRANCE,Coral restoration and marine ecosystems conservation. Toulon France.,https://directories.onepercentfortheplanet.org/profile/ocean-quest-france,41
Oceans Alive Conservation Trust,Protecting oceans and coastal environments through scientific research and marine wildlife conservation. South Africa.,https://directories.onepercentfortheplanet.org/profile/oceans-alive-conservation-trust-npo-pbo,41
Southern Otway Landcare Network,Grassroots community organisation dedicated to protecting and restoring environment. Apollo Bay VIC Australia.,https://directories.onepercentfortheplanet.org/profile/southern-otway-landcare-network,41
Bye Bye Plastic USA,Responsible Consumption & Production focused organization in West Hollywood CA.,https://directories.onepercentfortheplanet.org/profile/bye-bye-plastic-usa,41
Social Justice Fund Ventura County,Sustainable Livelihoods focused organization.,https://directories.onepercentfortheplanet.org/profile/social-justice-fund-ventura-county,41
OpenAQ,Global air quality data platform universally accessible free and open-source. Washington DC.,https://directories.onepercentfortheplanet.org/profile/openaq,41
Seed Peace (merged with Farm Collaborative),Food Systems focused organization in Carbondale CO.,https://directories.onepercentfortheplanet.org/profile/seed-peace-now-merged-with-partner-nonprofit-farm-collaborative,41
Climate Town,Rollie Williams and a ragtag team examining climate change in accessible and comedic way. New York NY.,https://directories.onepercentfortheplanet.org/profile/climatetown,41
THOUSAND YEAR TRUST,Restoring Britains Rainforests. Bodmin Moor Cornwall UK.,https://directories.onepercentfortheplanet.org/profile/thousand-year-trust,42
San Diego Environmental Film Festival,501c3 nonprofit created to inspire and affect social change through film and art. San Diego CA.,https://directories.onepercentfortheplanet.org/profile/san-diego-environmental-film-festival,42
Fondazione Banco Alimentare Onlus,Coordinates and guides the Banco Alimentare Network recovering and redistributing food surpluses to charities. Milan Italy.,https://directories.onepercentfortheplanet.org/profile/fondazione-banco-alimentare-onlus,42
North Branch Nature Center,Integral part of outdoor recreation and learning in Central Vermont serving 15000 people annually. Montpelier VT.,https://directories.onepercentfortheplanet.org/profile/north-branch-nature-center,42
Great Land Trust,Freshwater Ecosystems focused organization in Anchorage AK.,https://directories.onepercentfortheplanet.org/profile/great-land-trust,42
Shell to Shore,Georgias oyster shell recycling program diverting shells from landfill for coastal conservation. Athens GA.,https://directories.onepercentfortheplanet.org/profile/shell-to-shore,42
Asociacion La Ruta del Clima,Costa Rican NGO advocating for climate justice and public participation. Cartago Costa Rica.,https://directories.onepercentfortheplanet.org/profile/asociacin-la-ruta-del-clima,42
Regenerative Farms Inc.,Focusing on hunger biodiversity rainforests regenerative farming agroforestry and climate resilience. Ashfield MA.,https://directories.onepercentfortheplanet.org/profile/regenerative-farms-inc,42
ExtraVERTie,Environmental installation using humor and carnival codes to help understand environmental urgency. Paris France.,https://directories.onepercentfortheplanet.org/profile/extravertie,42
The Nautilus Project,Marine conservation education and research centre. Gibraltar.,https://directories.onepercentfortheplanet.org/profile/the-nautilus-project,42
Southern Kettles Off Road Riders Limited (SKORR),Nature Access focused organization in Wales WI.,https://directories.onepercentfortheplanet.org/profile/southern-kettles-off-road-riders-limited-skorr,42
Organizacion para la Conservacion de Cetaceos,Promoting ocean culture and literacy empowering communities to guard marine ecosystems. Punta del Este Uruguay.,https://directories.onepercentfortheplanet.org/profile/organizacin-para-la-conservacin-de-cetceos-occ,42
Keep Tempe Beautiful,501(c)3 volunteer-run nonprofit committed to making Tempe a clean green beautiful place. Tempe AZ.,https://directories.onepercentfortheplanet.org/profile/keep-tempe-beautiful,42
nos bois pour demain,Sustainable management and preservation of woodlands in Maisonnisses and adjacent communes France.,https://directories.onepercentfortheplanet.org/profile/nos-bois-pour-demain,42
Cloud City Conservation Center,Healthy Planet Healthy People. Leadville CO.,https://directories.onepercentfortheplanet.org/profile/cloud-city-conservation-center,42
